,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
200,201,"Sucre, J",SEA,,491696,C,50,127,9,20,6,0,1,7,6,21,0,0,.157,.195,.228,.424,0,0,9,0,29,7,6,58,43,1.35,525,142
201,202,"Crisp, C",OAK,,424825,LF,44,126,11,22,6,0,0,6,13,25,2,0,.175,.252,.222,.474,0,0,0,0,28,6,2,36,45,0.80,533,139
202,203,"Sands, J",CLE,,543742,RF,50,123,11,29,5,1,4,19,9,36,0,0,.236,.286,.390,.676,0,0,0,1,48,10,0,28,31,0.90,535,133
203,204,"Thompson, T",CWS,,572204,CF,44,122,17,36,8,3,5,16,13,26,1,0,.295,.363,.533,.896,0,0,0,0,65,16,3,36,27,1.33,555,135
204,205,"Villar, J",HOU,,542340,SS,53,116,18,33,7,1,2,11,10,29,7,2,.284,.339,.414,.752,0,0,1,1,48,10,3,39,20,1.95,501,128
205,206,"Leon, S",BOS,,506702,C,41,114,8,21,2,0,0,3,7,28,0,1,.184,.238,.202,.439,1,1,6,0,23,2,4,42,33,1.27,502,128
206,206,"Rosales, A",TEX,,489267,2B,53,114,14,26,4,0,3,7,10,30,4,4,.228,.296,.342,.638,0,1,0,0,39,7,4,33,29,1.14,508,125
207,208,"Montero, J",SEA,,524968,1B,38,112,11,25,6,0,5,19,4,32,0,0,.223,.250,.411,.661,0,0,0,0,46,11,2,30,27,1.11,384,116
208,209,"Gallo, J",TEX,,608336,3B,36,108,16,22,3,1,6,14,15,57,3,0,.204,.301,.417,.717,3,0,0,0,45,10,0,12,17,0.71,504,123
209,210,"Butera, D",KC,,460077,C,55,107,9,21,3,0,1,5,6,26,0,1,.196,.252,.252,.505,0,2,5,0,27,4,0,24,41,0.59,402,120
210,210,"Colon, C",KC,,518568,2B,43,107,8,31,5,0,0,6,11,17,3,2,.290,.356,.336,.692,0,0,1,0,36,5,2,34,28,1.21,474,119
211,210,"Corporan, C",TEX,,449786,C,33,107,10,19,4,0,3,15,6,40,0,0,.178,.244,.299,.543,0,4,2,2,32,7,1,25,28,0.89,470,121
212,213,"Mahtook, M",TB,,543484,CF,41,105,22,31,5,1,9,19,6,31,4,3,.295,.351,.619,.970,0,3,1,0,65,15,0,20,24,0.83,460,115
213,214,"Herrmann, C",MIN,,543302,C,45,103,13,15,5,1,2,10,7,37,0,0,.146,.214,.272,.486,0,2,1,0,28,8,1,30,23,1.30,435,113
214,215,"Muncy, M",OAK,,571970,1B,45,102,14,21,8,1,3,9,9,31,0,0,.206,.268,.392,.660,0,0,0,1,40,12,0,20,31,0.65,490,112
215,216,"Casali, C",TB,,592200,C,38,101,13,24,6,0,10,18,8,34,0,0,.238,.304,.594,.898,0,2,1,1,60,16,2,26,21,1.24,441,113
216,216,"Clevenger, S",BAL,,502182,C,30,101,11,29,4,2,2,15,4,13,0,0,.287,.314,.426,.740,1,0,0,0,43,8,3,35,27,1.30,361,105
217,216,"Franklin, N",TB,,545338,SS,44,101,11,16,4,1,3,7,7,37,1,0,.158,.213,.307,.520,0,0,1,0,31,8,2,19,32,0.59,432,109
218,216,"Swisher, N",CLE,,430897,DH,30,101,6,20,4,0,2,8,8,24,0,0,.198,.261,.297,.558,1,1,0,1,30,6,2,34,26,1.31,455,111
219,220,"Johnson, M",CWS,,608672,2B,36,100,10,23,4,0,0,4,9,30,3,2,.230,.306,.270,.576,0,2,2,0,27,4,0,32,17,1.88,472,114
220,221,"Alberto, H",TEX,,593643,SS,41,99,12,22,2,1,0,4,2,17,1,0,.222,.238,.263,.500,0,0,3,0,26,3,2,36,29,1.24,345,104
221,222,"Gimenez, C",TEX,,460269,C,36,98,19,25,6,1,5,14,10,19,2,0,.255,.330,.490,.820,0,1,4,0,48,12,2,33,27,1.22,435,113
222,223,"Jennings, D",TB,,457775,LF,28,97,9,26,2,1,1,7,8,17,5,3,.268,.324,.340,.664,0,1,0,2,33,4,2,39,19,2.05,418,108
223,223,"Parmelee, C",BAL,,476633,1B,32,97,11,21,7,1,4,9,4,26,0,1,.216,.255,.433,.688,0,1,0,0,42,12,1,14,37,0.38,417,102
224,225,"Cabrera, E",BAL,,465784,SS,29,96,7,20,2,0,0,4,5,22,2,0,.208,.250,.229,.479,0,1,1,2,22,2,4,44,17,2.59,407,105
225,225,"Ryan, B",NYY,,453895,3B,47,96,10,22,6,2,0,8,5,29,0,0,.229,.275,.333,.608,0,1,1,0,32,8,1,22,25,0.88,382,103
